iter	Passed	Remaining
0	4	451
1	9	459
2	13	437
3	16	393
4	20	393
5	24	376
6	28	373
7	32	369
8	35	362
9	39	356
10	43	351
11	48	354
12	51	346
13	55	340
14	59	336
15	63	331
16	67	328
17	70	323
18	77	330
19	81	326
20	85	320
21	89	315
22	92	310
23	96	305
24	100	301
25	103	295
26	106	289
27	110	284
28	113	279
29	117	274
30	121	270
31	124	265
32	128	260
33	132	256
34	136	252
35	140	249
36	143	245
37	147	241
38	151	236
39	155	233
40	159	229
41	161	222
42	164	218
43	168	214
44	172	210
45	175	206
46	179	202
47	182	198
48	186	193
49	189	189
50	192	185
51	196	181
52	200	177
53	202	172
54	204	167
55	207	162
56	209	158
57	211	153
58	213	148
59	215	143
60	216	138
61	218	133
62	219	129
63	221	124
64	222	120
65	224	115
66	225	111
67	226	106
68	227	102
69	229	98
70	230	94
71	231	90
72	232	86
73	233	82
74	234	78
75	236	74
76	238	71
77	239	67
78	240	63
79	241	60
80	242	56
81	243	53
82	244	50
83	245	46
84	246	43
85	247	40
86	250	37
87	252	34
88	253	31
89	254	28
90	254	25
91	255	22
92	257	19
93	258	16
94	259	13
95	260	10
96	262	8
97	263	5
98	264	2
99	265	0
